Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
90,4991255482,Boyd10stl,0,78.4,C Dylan Larkin C Morgan Frost D Mattias Samuelsson D Yan Kuznetsov G Philipp Grubauer UTIL Lucas Raymond W William Nylander W Tage Thompson W Easton Cowan,,J.J. Moser,D,2.55%,4.1
91,4991115218,yolegacy (1/2),0,77.4,C Anthony Cirelli C Morgan Frost D Rasmus Andersson D Troy Stecher G Dustin Wolf UTIL Matt Coronato W Nikita Kucherov W Brandon Hagel W Jonathan Huberdeau,,Axel Sandin-Pellikka,D,1.91%,10
92,4990781151,giantsquid (3/3),0,76,C Nick Schmaltz C Mikael Backlund D Mikhail Sergachev D John Marino G Karel Vejmelka UTIL Clayton Keller W Nikita Kucherov W Dylan Guenther W JJ Peterka,,Jonas Johansson,G,1.91%,11.9
93,4990527066,h418ov21c (1/5),0,74.6,C Nick Schmaltz C Yanni Gourde D Quinn Hughes D Mikhail Sergachev G Karel Vejmelka UTIL Conor Garland W Clayton Keller W Dylan Guenther W JJ Peterka,,Lawson Crouse,W,1.91%,1.3
94,4991146107,TexasRangersFan,0,74.3,C Auston Matthews C Mikael Backlund D Morgan Rielly D Marcus Pettersson G Kevin Lankinen UTIL MacKenzie Weegar W William Nylander W Matthew Knies W Blake Coleman,,Jordan Greenway,W,1.91%,3
94,4990527070,h418ov21c (5/5),0,74.299995,C Josh Norris C Anthony Cirelli D Rasmus Dahlin D Vince Dunn G Ukko-Pekka Luukkonen UTIL Jared McCann W Tage Thompson W Jason Zucker W Josh Doan,,Philipp Grubauer,G,1.91%,10.5
96,4991517829,Nsibell21 (2/2),0,73.6,C Dylan Larkin C Mikael Backlund D Moritz Seider D Simon Edvinsson G Darcy Kuemper UTIL Danila Yurov W Kirill Kaprizov W Lucas Raymond W Blake Coleman,,Bowen Byram,D,1.91%,4.1
97,4990781149,giantsquid (1/3),0,73.4,C Nick Schmaltz C Mikael Backlund D Quinn Hughes D Mikhail Sergachev G Ukko-Pekka Luukkonen UTIL Conor Garland W Clayton Keller W Dylan Guenther W JJ Peterka,,Linus Karlsson,UTIL,1.91%,2.8
98,4991552337,BongMasta420,0,71.700005,C Josh Norris C Andrew Copp D Brock Faber D Darren Raddysh G Darcy Kuemper UTIL Moritz Seider W Brandon Hagel W Matt Boldy W Jack Quinn,,Oliver Bjorkstrand,W,1.27%,0
99,4990442613,goldengoat29,0,71.200005,C Auston Matthews C Morgan Frost D Jake McCabe D Ben Chiarot G Ukko-Pekka Luukkonen UTIL Conor Garland W Nikita Kucherov W Matt Boldy W Connor Zary,,Eeli Tolvanen,UTIL,1.27%,1.5
99,4990607287,moods,0,71.2,C Josh Norris C Nicolas Roy D Rasmus Dahlin D Drew Doughty G Darcy Kuemper UTIL Moritz Seider W William Nylander W Adrian Kempe W Alex Laferriere,,Jack Quinn,W,1.27%,2.8
99,4990761015,cantfademe (4/5),0,71.2,C Nick Schmaltz C Morgan Frost D MacKenzie Weegar D Mattias Samuelsson G Philipp Grubauer UTIL JJ Peterka W Nikita Kucherov W Clayton Keller W Dylan Guenther,,Shane Wright,C,1.27%,11.4
102,4990427345,jaker1soe (1/2),0,71.1,C Danila Yurov C Andrew Copp D Brock Faber D Mattias Samuelsson G Filip Gustavsson UTIL Patrick Kane W Kirill Kaprizov W Alex DeBrincat W Mats Zuccarello,,Andrei Kuzmenko,UTIL,1.27%,0
103,4991259045,vishy2773 (2/5),0,70.799995,C Nazem Kadri C Morgan Frost D Quinn Hughes D Darren Raddysh G Darcy Kuemper UTIL Filip Hronek W Nikita Kucherov W Conor Garland W Brock Boeser,,Nick Paul,W,1.27%,0
104,4990868214,Rickyk07,0,70.7,C Dylan Larkin C Nazem Kadri D Moritz Seider D Brock Faber G Karel Vejmelka UTIL Patrick Kane W Lucas Raymond W Lawson Crouse W Michael Carcone,,Bobby McMann,W,1.27%,4.5
104,4991150070,CosaSpeciale (3/5),0,70.7,C Brayden Point C Josh Norris D Darren Raddysh D John Marino G Jonas Johansson UTIL Jason Zucker W Nikita Kucherov W Tage Thompson W Josh Doan,,Alex Laferriere,W,1.27%,4.5
106,4990535735,clothsofheaven (4/4),0,70.5,C Brayden Point C Mikael Backlund D Quinn Hughes D Mikhail Sergachev G Dustin Wolf UTIL Conor Garland W Jake Guentzel W Nick Paul W Blake Coleman,,Adam Larsson,D,1.27%,6.9
