Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Max Jones (41238439),Max Jones,41238439,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,0
LW,Connor Clattenburg (41238441),Connor Clattenburg,41238441,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,3.38
RW,Kasperi Kapanen (41238443),Kasperi Kapanen,41238443,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,3.53
LW,Isaac Howard (41238445),Isaac Howard,41238445,W/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,3.05
D,Victor Soderstrom (41238737),Victor Soderstrom,41238737,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,4.32
D,Jonathan Aspirot (41238739),Jonathan Aspirot,41238739,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,4.1
D,Vladislav Kolyachonok (41238741),Vladislav Kolyachonok,41238741,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,4.5
D,Henri Jokiharju (41238743),Henri Jokiharju,41238743,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,3.63
D,Michael Callahan (41238745),Michael Callahan,41238745,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,5.04
D,Jordan Harris (41238747),Jordan Harris,41238747,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,BOS,6.18
D,Alec Regula (41238827),Alec Regula,41238827,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,3.69
D,Ty Emberson (41238829),Ty Emberson,41238829,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,5.73
D,Spencer Stastney (41238831),Spencer Stastney,41238831,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,4.18
D,Riley Stillman (41238833),Riley Stillman,41238833,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,0
D,Damien Carfagna (41238835),Damien Carfagna,41238835,D/UTIL,2500,EDM@BOS 12/18/2025 07:00PM ET,EDM,0
C,Rodrigo Abols (41238003),Rodrigo Abols,41238003,C/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,2.41
C,Jacob Gaucher (41238005),Jacob Gaucher,41238005,C/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,1.93
C,Jett Luchanko (41238007),Jett Luchanko,41238007,C/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,1.35
C,Tyson Kozak (41238043),Tyson Kozak,41238043,C/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,4.04
C,Josh Dunne (41238045),Josh Dunne,41238045,C/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,2.64
LW,Nicolas Deslauriers (41238383),Nicolas Deslauriers,41238383,W/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,1.12
RW,Garnet Hathaway (41238385),Garnet Hathaway,41238385,W/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,1.52
LW,Nikita Grebenkin (41238387),Nikita Grebenkin,41238387,W/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,PHI,2.16
LW,Noah Ostlund (41238477),Noah Ostlund,41238477,W/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,4.85
RW,Beck Malenstyn (41238479),Beck Malenstyn,41238479,W/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,4.32
LW,Jordan Greenway (41238481),Jordan Greenway,41238481,W/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,3.02
RW,Justin Danforth (41238483),Justin Danforth,41238483,W/UTIL,2500,PHI@BUF 12/18/2025 07:30PM ET,BUF,2.05
